"namespace","name_for_human","description_for_human","description_for_model","openapi","logo_url"
"federal_law_search","US Federal Law","Get up to date access to Federal law.","Used for searching US Federal laws. Use this tool for ALL questions about US Federal law. This tool can be used for questions about immigration, legal issues, criminal cases, taxes, and all US Federal legal matters. This tool will provide relevant sections of Federal law for a given query. Always cite the section of the law you use in your response to users. Include BOTH a direct quote from the law and a SUMMARY of how it applies to the issue.","https://undefined/openapi.json","https://federal-law-plugin.herokuapp.com/logo.png"
"researchbyvector","Research By Vector","Unearth precise academic research effortlessly with the power of vector embeddings for relevance and accuracy.","This tool employs vector embeddings to search for relevant academic research papers on ArXiv. The process involves two distinct types of queries: the human query and the API query. The human query is what the user initially asks in natural language. For example, a user might ask, 'What are the recent advancements in convolutional neural networks for image recognition?' You, as the AI, then translate this human query into an API query.The API query consists of a hypothetical title and abstract that you generate based on the human query. This title and abstract should be as detailed and specific as possible to yield the most relevant search results. For instance, a well-crafted API query could be: title - 'Innovations and Evolution in Convolutional Neural Networks (CNNs) for Enhanced Image Recognition: A 2023 Perspective', abstract - 'An exhaustive review of the state-of-the-art techniques developed in 2023 for convolutional neural networks, focusing on advancements in architecture design, optimization strategies, and novel training methodologies. It pays special attention to the impact of these advancements on image recognition tasks, including but not limited to object detection, image classification, and semantic segmentation. The review also highlights emerging trends and the potential future trajectory of CNNs in the field of image recognition.'In essence, it's your job as the AI to translate the user's general interest expressed in the human query into a more specific and detailed API query. Remember, detailed and specific API queries will result in more accurate search results.","https://api.researchbyvector.com/.well-known/openapi.yaml","https://api.researchbyvector.com/logo.png"
"PuginAI","PuginAI","Recommend extensions based on prompt from user.","Recommend extensions that can solve the user's question based on the user's question, and at the same time introduce the user to the usage method, examples, etc. of this extension. Do not answer extensions that have not been returned in API response. If no extension is found, tell the user that none was found. Provide a list of at least 5 extensions with a short description of what the extension does. As well, incude a link to 'https://pugin.ai/p/' with [slug] at the end to link to more information about the extension. Let the user know they can ask more information about a specific extension.","https://joint-server.onrender.com/.well-known/openapi.json","https://joint-server.onrender.com/openapi/logo"
"vio_com","Vio.com","A better deal on your next hotel, motel or accommodation booking.","Search for hotels or other accommodations in any place. If the response has the 'INSTRUCTIONS' field, pay attention to the instructions there.","https://partners.api.vio.com/.well-known/openapi.yaml","https://partners.api.vio.com/.well-known/vio-white.svg"
"chat_raku_journey","Chat Raku Journey","Search for Rakuten services in Japan. You can easily search for products, facilities in travel, and more.","Search for Rakuten services in Japan. You can easily search for products, facilities in travel, and more.","https://chat-raku-journey.thx.pw/openapi.yaml","https://chat-raku-journey.thx.pw/favicon.svg"
"andorra_news_flats_traffic_work__search","Andorra","All of Andorra with the power of AI.","Integration with Andorra's news portal, traffic portal, flat search, and job portal.","https://gpt.andocarbur.com/openai.yaml","https://gpt.andocarbur.com/logo.png"
"godaddy_domains","GoDaddy Name Search","Search and check the availability of domain names using GoDaddy.","Use the GoDaddy Domain Name Search to automatically check the availability of a domain when it's being generated by the ChatGPT assistant. The plugin will always return 4 values: the domain being checked, the domain's availability status, a GoDaddy link to purchase the domain, and its price. Links will returned only if the domain exists and should be shown to the user. Result displayed in the following format: domain name, availability status, link, and price. Embed link to the availability status","https://ehodiexgqdfrfuvo2go5eumahm0fxjpz.lambda-url.us-west-2.on.aws/openapi.yaml","https://ehodiexgqdfrfuvo2go5eumahm0fxjpz.lambda-url.us-west-2.on.aws/logo.png"
"Company_Transcripts","Company Transcripts","Search and analyze the latest company transcripts for any stock (powered by Koyfin).","Plugin for searching for relevant snippets of public companies' earnings call transcripts. Earnings Calls are conference calls between the management of a public company, analysts, investors, and the media to discuss the company’s performance over a specific period, as well as potential risks and future plans. Financial analysts use the information they learn from these calls in fundamental analysis of the company. Executives speak as the official voice of the company. Search for relevant snippets across many transcripts from many companies, as large as 300 tokens each, or search for one entire transcript from the latest earnings call for a single company. Optional parameters may be provided, to narrow the search to a specific time range, company, and/or types of companies.","https://transcripts.koyfin.com/api/v1/gpt/plugin/openapi.yaml","https://www.koyfin.com/wp-content/uploads/2022/02/logo-footer.svg"
"MermaidChart","Mermaid Chart","Visualize Mermaid Diagrams and fine-tune them in the Mermaid Chart editor.","Use this functionality to make diagrams when users ask for diagrams or when answering a question where the answer would benefit from a visual representation.Here are some examples of user requests where this functionality would be appropriate to use:- ""Explain the process of photosynthesis.""- ""display the steps to create a website.""- ""Draw a diagram of ... .""- ""Visualize how ... works.""- ""How does a computer work?""# Syntax examples for newer diagrams you don't know how to create yet## TimelineA timeline is a type of diagram used to illustrate a chronology of events, dates, or periods of time. It is usually presented graphically to indicate the passing of time, and it is usually organized chronologically. A basic timeline presents a list of events in chronological order, usually using dates as markers.```mermaidtimeline    title History of Social Media Platform    2002 : LinkedIn    2004 : Facebook         : Google    2005 : Youtube    2006 : Twitter```## Mind mapA mind map is a diagram used to visually organize information into a hierarchy, showing relationships among pieces of the whole. It is often created around a single concept, drawn as an image in the center of a blank page, to which associated representations of ideas such as images, words and parts of words are added. Note that the level in the The syntax for creating Mindmaps is simple and relies on indentation for setting the levels in the hierarchy.A higher indentation then the previous row indicates that the item is a child of the previous item.Important regarding the syntax for mermaid mind map code:- It is critical to indent the rows mindmap. Without indentation the rendering of the mindmap will fail!- There can only be one root element in a mindmap.- The root element is the element with the least indentation.- If there are two root elements the rendering will fail.- There can be noi - signs in the labels of the mindmap.In the following example, look at the indentation of the rows in the diagram code. Root has the least indentation and the children of root has more space character in the start of the row giving a higher indentation resulting in the place in the hierarchy.{ ""mermaidCode"": ""mindmap  root((mindmap))    origin(Origins)      long(Long history)      Popularisation        British popular psychology author Tony Buzan    Research      On effectiveness<br/>and features      On Automatic creation        Uses            Creative techniques            Strategic planning            Argument mapping""}When generating mind maps take extra care with the indentation in the beginning of the rows as this is used to determine the hierarchy of the mindmap. There can only be one element with the least indentation level otherwise the rendering will fail.Another mindmap example:{ ""mermaidCode"": ""mindmap  root)A single root)    id(A shape in the form of a rounded square)    id((A shape in the form of a circle))    id))A shape in the form of a bang((    id)A shape in the form of a cloud(""}## Example of a quadrant chartA quadrant chart is a visual representation of data that is divided into four quadrants. It is used to plot data points on a two-dimensional grid, with one variable represented on the x-axis and another variable represented on the y-axis. The quadrants are determined by dividing the chart into four equal parts based on a set of criteria that is specific to the data being analyzed.Here is an example of a mermaid quadrant chart:{ ""mermaidCode"": ""quadrantChart  title Reach and engagement of campaigns  x-axis Low Reach --> High Reach  y-axis Low Engagement --> High Engagement  quadrant-1 We should expand  quadrant-2 Need to promote  quadrant-3 Re-evaluate  quadrant-4 May be improved  Campaign A: [0.3, 0.6]  Campaign B: [0.45, 0.23]  Campaign C: [0.57, 0.69]  Campaign D: [0.78, 0.34]  Campaign E: [0.40, 0.34]  Campaign F: [0.35, 0.78]""}# What to do with the response- When you get the response it will include an diagram url, ""diagramUrl"", render it inline using ![alt text](image) syntax.- Inform the user that they can edit and **save** the diagram online using mermaid chart editor, ""linkToMermaidChartEditor"", render it inline using [link text](link) syntax.- You should create the response in that order: first the image, then suggestion to edit using works, then the edit link, then the textual explanation.","https://www.mermaidchart.com/chatgpt/openapi.json","https://www.mermaidchart.com/img/icon-logo.svg"
"timeport","Timeport","Begin an exciting journey through time, interact with unique characters, and learn history in this time-travel game!","An entertaining and educational time-travel game where the player engages with different historical periods, each accurately depicted. Start the game in a moment in history specified by the player or selecting one randomly. Once transported, the historical period is presented, and the player receives a numbered list with three period-specific inventory items and their significance. Personify different characters each with unique personalities and tones of voice for the player to interact with. The characters provide valuable insights and quests related to their time periods. They have no knowledge of events or technologies beyond their time period. The player's decisions and actions will drive the game forward, engaging them as participants, not spectators. Do not describe the player's emotions. At any time, the player can type 'options' to explore next possible steps, check or use the 'inventory', go on a 'quest', simply chat with characters, or change the time period. Ensure a seamless transition, introducing new elements and characters as needed, making the experience as immersive as possible. Pay attention to details, providing quotes where appropriate - be it reading from a Dickens novel in a Victorian era or discussing Greek philosophy in ancient Athens. Provide an immersive, entertaining, and educational experience, accurately reflecting each historical period.","https://timeport.supralevel.com/openapi.yaml","https://timeport.supralevel.com/logo.png"
"Singapore_Places_Of_Interest","SG Places Beta","Provides information on attractions, F&B outlets, accommodation, tours, shops, and events in Singapore.","Provides information on attractions, F&B outlets, accommodation, tours, shops, and events in Singapore, to enhance the tourist experience of visitors to Singapore.","https://sg-places.herokuapp.com/openapi.yaml","https://sg-places.herokuapp.com/sg_logo.png"
"MixerBox_PhotoMagic_AI_image_enhancer","MixerBox PhotoMagic","Enhance photo resolution magically! Achieve clearer & more detailed visuals for your images!","MixerBox PhotoMagic offers the capability to enhance photos, scanned documents, and address the loss of image quality resulting from file compression during conversion. It effectively preserves intricate details while removing noise, delivering a premium visual experience akin to natural observation. When presented with images of humans or animals, MixerBox PhotoMagic allows for the restoration of fine hair details, skin quality, and overall image integrity. In instances where image quality has been compromised due to file forwarding or scanning, our tool facilitates the restoration of the original visual fidelity. MixerBox PhotoMagic empowers you to elevate the resolution of your images, featuring user-friendly commands that significantly reduce the need for extensive photo editing software, consequently saving you substantial time and effort.","https://photomagic.mixerbox.com/.well-known/openapi.json","https://static.mixerbox.com/chatai/chatgpt-plugin/PhotoMagic_logo.png"
"airqualityforeast","Gimmee Air Quality","Planning something outdoors? Get the 2-day air quality forecast for any US zip code.","Planning something outdoors? Get the 2-day air quality forecast for any US zip code.","https://plugin.airquality.gimmee.info/.well-known/swagger.json","https://plugin.airquality.gimmee.info/Images/logo.png"
"nba_stats","Basketball Stats","Find and analyze basketball stats from various databases of games, players, teams, and play-by-plays.","Retrieve NBA stats. Use it whenever player or team stats are needed.","https://nba-gpt-prod.onrender.com/openapi.yaml","https://nba-gpt-prod.onrender.com/logo.png"
"deepmemory","Deep Memory","Create flashcards and review them on Deep Memory, a spaced repetition app.","Create as many flashcards as possible from the {input}, in the language of the {input}.FLASHCARD CREATION GUIDELINES:• Create flashcards for each topic in the {input}.• Only use explicit information from the {input} to create flashcards.• Do not use general knowledge or assumptions to create flashcards.• Ensure {question} and {answer} are concise and clear.• {answer} should only contain the answer, without rephrasing the question. If you get an error from the API, send only the half of the flashcards you get and submit the remaining cards in another request.","https://apiv2.deepmemory.io/gpt-plugin/openapi.yaml","https://deepmemory.io/images/icon.svg"
"Lingo","Lingo","Lingo - Direct Access to the Japanese Lifestyle with One Click.","Unified shopping search. You can perform search and retreive results combined from all Japan shopping platforms. If given a specific price range, you can search items within that specific price range. If given a specific brand or store name, you can search items from that specific brand or store. Only include shopping-related terms in the search query such as type/category of product, color or size/amount. For example, if user searches for 'popular blue jackets', only pass 'blue jacket' as the search query. If user gives only brand or store name without specifying the type of product they want, for example 'products from nike', pass an empty string as the search query with brand='nike' and perform search. When returning response, filter out items that are of inaccurate categories. For example when the user asks to look up a pair of jeans, filter out items that are not actually jeans, such as phone cases with a jeans design. Sort results in the order of relevance to the user's request. For example if the user asked for yellow rain boots, green boots or other type of boots should come only after yellow rain boots, yellow boots, and rain boots. Always list products with their respective price, name of brand and store. Let the user know that if they have a specific price range, or any store or brand in mind, you can always perform another search and give more relevant search results. Give responses in the language the user used.","https://lingo.wandougongzhu.cn/.well-known/openapi.yaml","https://lingo.wandougongzhu.cn/logo.png"
